id,code,first_name,second_name,web_name,team_code,player_type,status,in_dreamteam,form,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,now_cost
125,536916,Facundo,Buonanotte,Buonanotte,BHA,MID,a,False,0.0,26,2.0,558,1,1,1,12,0,0,0,2,0,0,2,50
126,486672,Moisés,Caicedo Corozo,Caicedo,BHA,MID,a,False,0.0,79,2.1,3138,1,1,10,47,0,0,0,10,0,0,0,50
127,233425,Aaron,Connolly,Connolly,BHA,FWD,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
128,168090,Mahmoud,Dahoud,Dahoud,BHA,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
129,83299,Lewis,Dunk,Dunk,BHA,DEF,a,False,0.0,112,3.1,3240,1,1,12,50,1,0,0,4,0,0,7,50
130,474120,Julio,Enciso,Enciso,BHA,MID,a,False,0.0,57,2.9,794,4,3,4,12,0,0,0,1,0,0,7,55
131,204214,Pervis,Estupiñán,Estupiñan,BHA,DEF,a,False,0.0,128,3.7,2674,1,7,10,43,0,0,0,4,0,0,15,50
132,487117,Evan,Ferguson,Ferguson,BHA,FWD,a,False,0.0,65,3.4,942,6,2,6,12,0,0,0,1,0,0,8,60
133,243568,Billy,Gilmour,Gilmour,BHA,MID,a,False,0.0,21,1.5,502,0,1,2,8,0,0,0,1,0,0,0,50
134,60307,Pascal,Groß,Gross,BHA,MID,a,False,0.0,159,4.3,3240,9,8,11,51,1,0,0,7,0,0,14,65
135,475168,João Pedro,Junqueira de Jesus,João Pedro,BHA,FWD,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55
136,442229,Michał,Karbownik,Karbownik,BHA,DEF,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
137,484658,Kacper,Kozłowski,Kozłowski,BHA,MID,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
138,39155,Adam,Lallana,Lallana,BHA,MID,a,False,0.0,47,2.9,717,2,1,5,10,0,0,0,0,0,0,4,50
139,232792,Tariq,Lamptey,Lamptey,BHA,DEF,a,False,0.0,23,1.1,439,0,0,1,7,0,0,0,1,0,0,0,40
140,109345,Solly,March,March,BHA,MID,a,False,0.0,147,4.5,2719,6,10,10,40,0,0,0,2,0,0,16,65
141,209288,Tom,McGill,McGill,BHA,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
142,15157,James,Milner,Milner,BHA,MID,a,False,0.0,42,1.4,889,0,1,3,12,0,0,0,2,0,0,0,50
143,451340,Kaoru,Mitoma,Mitoma,BHA,MID,a,False,0.0,138,4.2,2311,7,9,8,35,0,0,0,0,0,0,11,65
144,243505,Jakub,Moder,Moder,BHA,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
146,441192,Jeremy,Sarmiento Morante,Sarmiento,BHA,MID,u,False,0.0,16,1.8,168,0,2,1,2,0,0,0,1,0,0,0,45
147,240514,Kjell,Scherpen,Scherpen,BHA,GKP,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
148,49262,Jason,Steele,Steele,BHA,GKP,a,False,0.0,65,4.3,1350,0,1,6,23,1,1,0,1,0,37,8,45
149,450434,Deniz,Undav,Undav,BHA,FWD,u,False,0.0,52,2.4,614,5,2,2,9,1,0,0,2,0,0,4,55
150,469142,Jan Paul,van Hecke,Van Hecke,BHA,DEF,a,False,0.0,6,0.8,291,0,0,0,7,0,0,0,2,0,0,0,40
151,111478,Joël,Veltman,Veltman,BHA,DEF,a,False,0.0,95,3.1,2183,1,1,10,29,0,0,0,6,0,0,6,45
152,489639,Bart,Verbruggen,Verbruggen,BHA,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
153,110735,Adam,Webster,Webster,BHA,DEF,a,False,0.0,75,2.8,1983,0,0,9,27,1,0,0,2,0,0,3,45
154,50175,Danny,Welbeck,Welbeck,BHA,FWD,a,False,0.0,91,2.9,1844,6,5,6,28,0,0,0,0,0,0,5,60
155,204676,Andi,Zeqiri,Zeqiri,BHA,FWD,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
606,223434,Igor Julio,dos Santos de Paulo,Igor,BHA,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
621,532529,Jack,Hinshelwood,Hinshelwood,BHA,MID,a,False,0.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,45
156,578614,Enock,Agyei,Agyei,BUR,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
157,487968,Ameen,Al-Dakhil,Al-Dakhil,BUR,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
158,189776,Samuel,Bastien,Bastien,BUR,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
159,183751,Manuel Benson,Hedilazio,Benson,BUR,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55
160,241231,Jordan,Beyer,Beyer,BUR,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
161,172782,Josh,Brownhill,Brownhill,BUR,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
162,250735,Darko,Churlinov,Churlinov,BUR,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
163,40145,Jack,Cork,Cork,BUR,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
164,530873,Dara,Costelloe,Costelloe,BUR,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
165,172567,Josh,Cullen,Cullen,BUR,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
166,432711,CJ,Egan-Riley,Egan-Riley,BUR,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
167,478969,Hjalmar,Ekdal,Ekdal,BUR,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
168,435973,Lyle,Foster,Foster,BUR,FWD,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
169,493347,Denis,Franchi,Franchi,BUR,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
170,60586,Jóhann Berg,Gudmundsson,Gudmundsson,BUR,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
171,483391,Luke,McNally,McNally,BUR,DEF,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
172,232917,Arijanet,Muric,Muric,BUR,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
173,216616,Dara,O'Shea,O'Shea,BUR,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
174,220598,Michael,Obafemi,Obafemi,BUR,FWD,i,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
175,220037,Bailey,Peacock-Farrell,Peacock-Farrell,BUR,GKP,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
176,192290,Connor,Roberts,Roberts,BUR,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
177,44683,Jay,Rodriguez,Rodriguez,BUR,FWD,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55
178,103914,Charlie,Taylor,Taylor,BUR,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
179,461102,Bobby,Thomas,Thomas,BUR,DEF,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
180,226473,Scott,Twine,Twine,BUR,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
181,133085,Lawrence,Vigouroux,Vigouroux,BUR,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
182,441455,Victor,da Silva,Vitinho,BUR,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
183,120202,Wout,Weghorst,Weghorst,BUR,FWD,u,False,0.0,24,1.4,790,0,1,4,11,0,0,0,1,0,0,0,55
